Name,Description,Keywords
Abductor Virgin,"The Abductor Virgin is a monster that lurks in the shadows, waiting to snatch its unsuspecting prey. It has long, sharp claws that it uses to grab its victim and pull them into the darkness, where it will devour them whole. This creature is feared by all who know of its existence, and it is said that no one who has been taken by the Abductor Virgin has ever been seen again.","Monsters , Darkness , Fear , Prey"
Abnormal Stone Cluster,"This monster would be a large, hulking creature made entirely out of stone. It would be slow and lumbering, but would deal massive damage with its huge fists. It would be immune to most forms of damage, and would be extremely difficult to kill.","Stone , Monster , Damage , Difficult"
Abyss Watchers,"The Abyss Watchers are a fearsome and deadly breed of monster that lurk in the dark corners of the world, preying on the unwary. They are fast, agile, and incredibly strong, able to rend flesh and bone with their claws and teeth. They are also able to spit a corrosive acid that can burn through flesh and metal alike. Beware the Abyss Watchers, for they are sure to bring death to any who cross their path.","Dark and Dangerous , Preying on the Unwary , Fast and Agile , Strong and Deadly"
Albinauric,"The Albinauric is a massive, dragon-like creature that dwells in the dark depths of the world. It is a fearsome creature, with razor sharp claws and teeth, and a long, barbed tail. It is said that this creature is immune to fire, and that it can breathe a stream of deadly poison.","Dark and dangerous , Poisonous , Immune to fire , Huge"
Albinauric Wolfback Archer (Archer of Ordina),"This monster would be a fearsome archer that would shoot arrows at players from a distance. They would be fast and agile, making them difficult to hit, and would have a variety of different arrows that they could use to debuff or damage players.","Monster , Archery , Fast , Difficult to hit"
"Aldrich, Devourer of Gods ","Aldrich, Devourer of Gods, is a large, skeletal creature with glowing red eyes. He wields a large sword and shield, and wears armor that seems to be made of bone. He is a fearsome opponent, and is said to feast on the gods themselves.","Horror , Religion , Combat , Mythology"
"Alfred, Knight of the Tower ","Alfred, Knight of the Tower, is a large, muscular man clad in heavy armor. He wields a greatsword in one hand and a shield in the other. Alfred is a fierce warrior, and his skill with his weapons is unmatched. He is a brave and honorable knight, and he will stop at nothing to protect his kingdom.","Courage , Honor , Strength , Loyalty"
"Anastasia, Tarnished-Eater ","Anastasia, Tarnished-Eater would be a large, hulking creature, covered in thick, rusted armor. It would carry a huge, crude weapon, which it would use to bash and crush its enemies. It would be a slow, but relentless foe, relentlessly pursuing its prey until they were dead.","Brutality , Revenge , Violence , Survival"
Ancestral Follower,"The Ancestral Follower is a skeletal creature that lumbers around slowly, but is relentless in its pursuit of prey. It is armed with a crude club, and its bony fingers are sharp enough to rend flesh. Although its movements are slow, it is surprisingly agile, and can leap great distances to close the gap on its prey.","Ancestral, skeletal, prey, agile,"
Ancestral Follower Shaman,"The Ancestral Follower Shaman is a monster that is found in the game Dark Souls. This monster is a humanoid creature that is covered in dark fur. It has a long face with sharp teeth, and red eyes. It is armed with a staff that it uses to cast spells.","Shaman , Dark Souls , Monster , Humanoid"
Ancient Wyvern,"The Ancient Wyvern is a massive, dragon-like creature that dwells in the darkest depths of the world. It is a fearsome opponent, with razor-sharp claws and teeth, and a tail that can crush anything in its path. It is said that this creature is immune to fire, and that its breath is deadly poison.","Ancient , Dragon , Fearsome , Poison"
Angel,"of Death' The Angel of Death is a fearsome creature that lurks in the shadows, waiting to strike at its unsuspecting prey. It is a fearsome opponent that can dish out massive damage with its powerful attacks.","Angelic , Grim , Spectral , Reaper"
Angel Pilgrim,"The Angel Pilgrim is a fearsome creature that lurks in the dark corners of Lordran. It is a humanoid creature with large wings that it uses to fly and attack its prey. It has a long, sharp beak that it uses to peck at its victims, and its claws are deadly sharp. It is a difficult creature to defeat, but it can be done with perseverance and skill.","Dark and foreboding , Flying creature , Deadly claws and beak , Difficult to defeat"
Avionette Soldier,"The Avionette Soldier is a small, flying creature that attacks by swooping down and stabbing at its enemies with its long, sharp beak. It is fast and agile, making it difficult to hit, and its small size makes it hard to damage with most weapons.","Airborne , Fast , agile , Small"
Azula Beastman,"The Azula Beastman is a large, muscular creature with the head of a wild boar and the body of a human. It is covered in thick, bristly fur and has large, sharp tusks protruding from its mouth. It is a fearsome opponent in battle, using its powerful limbs to deliver crushing blows to its enemies.","Animalistic , Brutal , Fierce , Powerful"
Baby's Nail,"This monster would be a small, fast creature that would dart around the player, attacking with its sharp nails. It would be difficult to hit, and would cause bleeding damage with its attacks.","Fast, small, agile, dangerous"
Balder Knight,"The Balder Knight is a fearsome creature that lurks in the shadows, preying on the unsuspecting. It is a master of swordsmanship, and its blade is said to be able to cut through anything. It is a relentless fighter, and will not rest until its prey is dead.","Shadows , Swordsmanship , Prey , Relentless"
Baleful Shadow,"The Baleful Shadow is a fearsome creature that lurks in the dark, preying on the unwary. It is a shadowy figure, barely seen in the gloom, but its eyes gleam with a malevolent intelligence. It is fast and agile, attacking with sharp claws and teeth, and is capable of draining the life force from its victims.","Fear , Darkness , Prey , Malevolent"
