Item Name,Item Description,Story
A Call Beyond,"One of the secret rites of the Choir. Long ago, the Healing Church used phantasms to reach a lofty plane of darkness, but failed to make contact with the outer reaches of the cosmos. The rite failed to achieve its intended purpose, but instead created a small exploding star, now a powerful part of the Choir's arsenal. At times, failure is the mother of invention.","The Choir of the Healing Church had long sought to commune with the outer reaches of the cosmos. However, their attempts failed and they created an exploding star. Now, this star is a powerful part of the Choir's arsenal."
Abyss Greatsword,This greatsword belonged to Lord Gwyn's Knight Artorias who fell to the Abyss. Swallowed by the Dark with its master this sword is tainted by the Abyss and now its strength reflects its wielder's humanity,"Artorias was a great knight who fought against the Abyss. He was swallowed by the Dark and his greatsword became tainted with the Abyss. Now, the sword's power reflects the humanity of its wielder."
Abyss Seal,"Ring of the Pilgrims of Dark covenant . Increases the attack strength of hexes, but casting them reduces HP. What is dark? Perhaps we already know. We fear the dark, yet find solace in it. Those who join this covenant can see the hidden Dark Chasm.","The Ring of the Pilgrims of Dark covenant was once worn by a powerful witch who sought to increase the power of her hexes, but at the cost of her own health. Now, any player who casts a hex while wearing the ring will suffer a reduction in HP. This ring is said to lead to the hidden Dark Chasm, a place where the shadows of the past converge. Those brave enough to venture into it may find untold secrets and power."
Academy Glintstone Staff,"Staff of the Academy of Raya Lucaria, embedded with a turquoise glintstone. Only a recognized sorcerer is permitted to wield this staff.","The Staff of the Academy of Raya Lucaria is a powerful artifact that only a recognized sorcerer is permitted to wield. The staff is embedded with a turquoise glintstone, which gives it an extra edge when it comes to combat."
Accursed Brew,"Skull of a local from the violated fishing village. The inside of the skull was forcibly searched for eyes, as evidenced by innumerable scratches and indentations. No wonder the skull became stewed in curses. They who offer baneful chants. Weep with them, as one in trance",A fishing village was violated and the locals were terrorized. One of the skulls from the village was stewed in curses and the inside was searched for eyes.
Agape Ring,"A ring affixed with an open vessel. The vessel insatiably absorbs souls in place of its wearer, who is left unaware even of their collection. All things are rooted in souls, but what drives our thirst for them? Abstinence from this elixir may be the truest homage to an enduring self","The ring is a cursed item that has been passed down through generations of a family. The wearer of the ring is unaware that they are absorbing the souls of others. The ring is said to have originated from a dark and twisted ritual. The wearer of the ring is left unaware of their collection of souls and all things are rooted in souls. However, the true power of the ring comes from the elixir that it contains. If the wearer abstains from drinking the elixir, they may"
Aged Feather,"An aged bird feather. Return to last bonfire rested at. Can be used repeatedly. The child of the dragon, sequestered away from the world, imagined a world of boundless possibilities from the mere sight of a feather.",A child of the dragon finds a feather and imagines all the possibilities it could bring.
Aged Smelter Sword,Ultra greatsword crafted from the soul of the smelter demon. It's blade is imbued with a great flame. Use the strong attack to unleash its latent power. When the old king acquired the power to grant life to heaps of iron he molded a great array of metallic automatons. The iron monstrosity itself was perhaps one of the king's puppets.,"The Ultra Greatsword is a powerful weapon that was crafted from the soul of a smelter demon. When used in combat, the sword's flame-imbued blade can unleash its full power. The Ultra Greatsword is also known to be a powerful weapon that can grant life to metallic automatons."
Alabaster Lord's Sword,"Greatsword forged from a blue-white meteoric ore. The blade conceals gravity-manipulating magic. A weapon unique to the Alabaster Lords, a race of ancients with skin of stone who were said to have risen to life when a meteor struck long ago.","The greatsword was forged from a blue-white meteoric ore. The blade concealed gravity-manipulating magic, making it a weapon unique to the Alabaster Lords, a race of ancients who were said to have risen to life when a meteor struck long ago. The sword was said to have been passed down from one Alabaster Lord to the next, and was said to be the most powerful weapon in the kingdom. One day, the sword was stolen by a rival"
Alberich's robe,Set with red glintstones said to be formed by the blood of sacrifices. Strengthens thorn sorcery. Alberiches was an aloof yet disturbed heretical sorcerer said to have been driven mad by jeering tongues during his service to the Roundtable Hold long ago.,The red glintstones were said to have been formed from the blood of sacrifices. Alberiches was an aloof yet disturbed heretical sorcerer said to have been driven mad by jeering tongues during his service to the Roundtable Hold long ago. He was said to have used the stones to strengthen his thorn sorcery.
Albinauric Bow,Longbow featuring delicate silverwork. Wielded by Albinauric wolfback archers. This bow requires dexterity over strength to master.,"The Albinauric wolfback archers are a proud and skilled people. They use the longbow as their weapon of choice, and it takes a great deal of dexterity to use it effectively. This bow is especially difficult to use, as it requires more skill than strength."
ALBINAURIC MASK,"Made from the largely unaltered hide of a young Albinauric. Raises arcane, but reduces the HP recovery effects of the Flask of Crimson Tears. A far cry from godskin, this Albinauric hide mask is the product of malicious mockery.","The Albinauric hide mask is a product of malicious mockery. It raises arcane, but reduces the HP recovery effects of the Flask of Crimson Tears. This makes it a far cry from the godskin masks worn by most Albinauric."
Albinauric Staff,Short staff with a blue glintstone embedded. Wielded by the albinaurics of old. The albinaurics harbor a secret; they cast sorcery with their innate arcaneness.,"The staff belonged to the albinaurics, a race of sorcerers who wielded its power with ease. The albinaurics were a secretive people, and few knew of their true abilities. The staff was a remnant of their ancient ways, and held a secret that could change the course of history."
Aldia Hammer,"Hammer used by Aldian acolytes. Not used as a weapon, but as an instrument to dissect the bodies of the victims of their experimentation. They say that Lord Aldia was the King's elder brother and helped found Drangleic, but he later lost interest in the land's fortunes.","The Hammer of Aldia is a sacred tool used by Aldian acolytes. It is not used as a weapon, but as an instrument to dissect the bodies of the victims of their experimentation. They say that Lord Aldia was the King's elder brother and helped found Drangleic, but he later lost interest in the land's fortunes."
Aldrich's Ruby,"A malformed ring left by Aldrich, Saint of the Deep. Recovers HP from critical attacks. Aldrich, infamous for his appetite for flesh apparently had the desire to share with others his joy of imbibing the final shudders of life while luxuriating in his victim's screams.","The ring was left behind by Aldrich, a saint of the deep who was known for his insatiable appetite for human flesh. The ring is said to recover HP from critical attacks, and those who wear it are said to become immune to fear."
Aldrich's Sapphire,"A malformed ring left by Aldrich, Saint of the Deep. Recovers FP from critical attacks. Aldrich, infamous for his appetite for flesh, apparently had the desire to share with others his joy of imbibing the final shudders of life while luxuriating in his victim's screams.","The ring is a dark, twisted thing, its metal tarnished and worn. When it touches someone, it seems to suck away their life force, healing them from any critical wounds. However, the ring also has a dark side. If someone is attacked while wearing the ring, their life force is drained and they die."
All-Knowing Helm,"Helm set with countless eyes and ears. Worn by Gideon Ofnir, the All-Knowing. Knowledge begins with the recognition of one's ignorance. The realization that the search for knowledge is unending. But when Gideon glimpsed into the will of Queen Marika, he shuddered in fear. At the end that should not be","Gideon ofnir is a powerful wizard who has the ability to see into the future. One day, he sees a vision of Queen Marika's impending death. In response, he sets out to find a way to prevent it. He comes across a set of armor that grants him the power to hear and see everything around him. With this newfound knowledge, he is able to prevent the queen's death."
Alluring Skull,"A skull of unknown ownership. Smashing it releases traces of souls, which can attract nearby foes. Does not work on all enemies, but can prove useful in unexpected ways.","The skull belonged to an unknown individual, and when it was smashed, a cloud of souls escaped. These souls were attracted to any nearby enemies, and could prove useful in unexpected ways."
