Name,Rarity,Type,Lore,Attunement,Weight,Properties,Effects,Value
 +1 Arrow ,uncommon,"ammunition, enchantment",This ammunition is specially designed to increase the accuracy of your ranged attacks.,,,,"You have a +1 bonus to attack and damage rolls made with this piece of magic ammunition. Once it hits a target, the ammunition is no longer magical.",
 +1 Dragonhide Belt,uncommon,wondrous item,The Dragonhide Belt is a magical item that grants the wearer an increase to there defense,requires attunement by a monk,,,"This finely detailed belt is made of dragonhide. While wearing it, you gain a +1 bonus to the saving throw DCs of your ki features. In addition, you can use an action to regain ki points equal to a roll of your Martial Arts die. You can't use this action again until the next dawn.",
 +1 Greatsword,uncommon,enchantment,The +1 Weapon is a magical item that increases the user's attack power.,,,,You have a +1 bonus to attack and damage rolls made with this magic weapon.,
 +1 Leather Garb,rare,enchantment,"The armor is made of metal and has a green sheen to it. It is heavy, but it seems to fit the wearer well.",,,,You have a +1 bonus to AC while wearing this armor. ,
 +1 Moon Sickle,uncommon,"sickle, simple melee weapon",The moon sickle is a magical weapon that is said to have been created by the goddess Selune. It is a sickle-like blade that is made of silver and moonstone. The moon sickle is said to have the power to heal wounds and grant strength and courage to its user.,requires attunement by a druid or ranger,2 lb.,"1d4, slashing, - light","This silver-bladed sickle glimmers softly with moonlight. While holding this magic weapon, you gain a +1 bonus to attack and damage rolls made with it, and you gain a +1 bonus to spell attack rolls and the saving throw DCs of your druid and ranger spells. In addition, you can use the sickle as a spellcasting focus for your druid and ranger spells. When you cast a spell that restores hit points, you can roll a d4 and add the number rolled to the amount of hit points restored, provided you are holding the sickle. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons.",
 +1 Rhythm-Maker's Drum,uncommon,"wondrous item, Instrument",The Rhythm-Maker's Drum is a magical item that allows its user to create perfect rhythms. It is said to have been created by the god of music himself.,requires attunement by a bard,3 lb.,,"While holding this drum, you gain a +1 bonus to spell attack rolls and to the saving throw DCs of your bard spells.As an action, you can play the drum to regain one use of your Bardic Inspiration feature. This property of the drum can't be used again until the next dawn.If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument.A bard can use a musical instrument as a spellcasting focus, substituting it for any material component that does not list a cost.Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.",
 +1 Shield ,uncommon,enchantment,The +1 Shield is a item that provides its user with a bonus to their defense.,,,,"While holding this shield, you have a +1 bonus to AC. This bonus is in addition to the shield's normal bonus to AC.",
+1 All-Purpose Tool,uncommon,wondrous item,"All-Purpose Tool is a magical item that is always useful. It has many different functions, such as being a tool for crafting, a weapon, or a tool for navigation.",requires attunement by an artificer,,,"This simple box can transform into a variety of tools; as an action, you can touch the item and transform it into any type of artisan's tool of your choice. Whatever form the tool takes, you are proficient with it. While holding this tool, you gain a +1 bonus to the spell attack rolls and the saving throw DCs of your artificer spells. As an action, you can focus on the tool to channel your creative forces. Choose a cantrip that you don't know from any class list. For 8 hours, you can cast that cantrip, and it counts as an artificer cantrip for you. Once this property is used, it can't be used again until the next dawn.",
+1 Amulet of the Devout,uncommon,wondrous item,The amulet of the devout is a magical item that grants the wearer a +1 bonus to AC.,requires attunement by a cleric or paladin,1 lb.,,"This amulet bears the symbol of a deity inlaid with precious stones or metals. While you wear the Sacred Seal, you gain a +1 bonus to spell attack rolls and the saving throw DCs of your spells.While you wear this amulet, you can use your Channel Divinity feature without expending one of the feature's uses. Once this property is used, it can't be used again until the next dawn.",
+1 Arcane Grimoire,uncommon,wondrous item,The arcane Grimoire is a tome of magical knowledge that grants its user an extra 1d4 spell slots per day.,requires attunement by a wizard,3 lb.,,"While you are holding this leather-bound book, you can use it as a spellcasting focus for your wizard spells, and you gain a +1 bonus to spell attack rolls and to the saving throw DCs of your wizard spells.You can use this book as a spellbook. In addition, when you use your Arcane Recovery feature, you can increase the number of spell slot levels you regain by 1.",
