Name,Descriptions,Keywords
Aboleth,"The Aboleth is a large, Lovecraftian creature that lurks in the dark depths of the ocean. It is a fearsome predator, with a long, slimy body and a multitude of tentacles that it uses to ensnare its prey. The Aboleth is a fearsome foe, and will not hesitate to devour anything that crosses its path.","Monsters , The ocean , Prey , Fear"
Acolyte of the Abyss',"The Acolyte of the Abyss is a fearsome creature that lurks in the dark corners of Lordran. It is a humanoid creature with black, leathery skin and glowing red eyes. It wields a large scythe in one hand and has long, sharp claws on the other. It is a dangerous foe that should not be underestimated.","Horror , Darkness , Evil , Demons"
Adult Black Dragon,"The Adult Black Dragon is a massive, black dragon that is feared by all who cross its path. It is a ferocious creature that will stop at nothing to destroy its enemies. It has razor sharp claws and teeth, and its powerful tail can crush anything in its way. This dragon is not to be underestimated, and those who face it should be prepared for a long and difficult battle.","Danger,, Strength, , Destruction, , Fear"
Adult Blue Dragon,"The Adult Blue Dragon is a massive, flying creature with blue scales and razor-sharp claws. It breathes fire and is extremely dangerous. It is found in the darkest depths of the game world and is feared by all who encounter it.","Danger , Fire , Flying , Scale"
Adult Brass Dragon,"The Adult Brass Dragon is a massive, flying creature with golden scales and a long, serpentine body. It has large, leathery wings, and a long, barbed tail. Its head is adorned with a crown of horns, and its eyes glow red with heat. It breathes fire, and its claws and teeth are sharp as blades. This dragon is feared by all who know of it, for it is a ruthless and powerful predator.","Powerful , Flying , Serpentine , Red eyes"
Adult Bronze Dragon,"The Adult Bronze Dragon is a massive creature, towering over most other creatures in the game. It is covered in shining bronze scales, with great wings that allow it to fly. It is a fearsome creature, capable of breathe fire and crushing its opponents with its powerful claws.","Powerful , Flying , Fire , Scales"
Adult Copper Dragon,"The Adult Copper Dragon is a massive, flying reptile with scaly, copper-colored skin. It has large, leathery wings, and a long, snake-like body. Its head is adorned with horns, and it has a long, barbed tail. It is a fearsome creature, and is capable of breathing fire.","Dragons , Fire , Flying , Reptile"
Adult Gold Dragon,"The Adult Gold Dragon is a massive, flying reptilian creature with golden scales covering its body. It has large, leathery wings, and a long tail that ends in a sharp point. Its head is adorned with horns, and it has a long, snake-like tongue. It is a fearsome creature, and is known to be highly intelligent and magical. It is said that they are able to breathe fire, and that their claws and teeth are poisonous.","Adventure , Dragons , Magical creatures , Intelligence"
Adult Green Dragon,"The Adult Green Dragon is a massive creature with scaly green skin and large wings. It has a long neck and tail, and its head is adorned with horns. Its eyes are glowing green, and its mouth is full of sharp teeth. It is a fearsome creature, and it is said that its breath is deadly.","Animalistic , Dangerous , Fearsome , Powerful"
Adult Red Dragon,"The Adult Red Dragon is a massive, powerful creature that dwells in dark caves and lurks in the shadows, waiting to ambush its prey. It has a long, sinuous body covered in red scales, and a long tail that it uses to lash out at its enemies. It has large, leathery wings that it uses to fly, and sharp claws and teeth that it uses to rend and tear its victims.","Danger,, Violence, , Revenge, , Bloodshed"
Adult Silver Dragon,"The Adult Silver Dragon is a massive, powerful creature that is feared by all who know of it. It is said to be immune to all forms of magic and has razor sharp claws and teeth that can rend flesh and bone with ease. It is a fearsome opponent that should not be underestimated.","Powerful , Magic , Immune to magic , Fearsome"
Adult White Dragon,"The Adult White Dragon is a massive creature that towers over most other enemies in the game. It is incredibly powerful, and its icy breath can easily freeze and kill most players. It is a fearsome opponent, and only the most experienced and well-prepared players will stand a chance against it.","Powerful , Fearful , Deadly , Cold"
