prompt,completion
Generate ESB ItemName:A Call Beyondand it's \nDescription: ,"One of the secret rites of the Choir. Long ago, the Healing Church used phantasms to reach a lofty plane of darkness, but failed to make contact with the outer reaches of the cosmos. The rite failed to achieve its intended purpose, but instead created a small exploding star, now a powerful part of the Choir's arsenal. At times, failure is the mother of invention."
Generate ESB ItemName:A Call Beyondand it's \nDescription: ,"One of the secret rites of the Choir.>>Long ago, the Healing Church used phantasms to reach a lofty plane of darkness,>>but failed to make contact with the outer reaches of the cosmos.>>The rite failed to achieve its intended purpose, but instead created a small exploding star,>>now a powerful part of the Choir's arsenal. At times, failure is the mother of invention."
Generate ESB ItemName:Abyss Sealand it's \nDescription: ,"Ring of the Pilgrims of Dark covenant . Increases the attack strength of hexes, but casting them reduces HP. What is dark? Perhaps we already know. We fear the dark, yet find solace in it. Those who join this covenant can see the hidden Dark Chasm."
Generate ESB ItemName:Accursed Brewand it's \nDescription: ,"Skull of a local from the violated fishing village. The inside of the skull was forcibly searched for eyes, as evidenced by innumerable scratches and indentations. No wonder the skull became stewed in curses. They who offer baneful chants. Weep with them, as one in trance"
Generate ESB ItemName:Agape Ringand it's \nDescription: ,"A ring affixed with an open vessel. The vessel insatiably absorbs souls in place of its wearer, who is left unaware even of their collection. All things are rooted in souls, but what drives our thirst for them? Abstinence from this elixir may be the truest homage to an enduring self"
Generate ESB ItemName:Aged Featherand it's \nDescription: ,"An aged bird feather.>>Return to last bonfire rested at.>>Can be used repeatedly.>>The child of the dragon, sequestered away from the world, imagined a world of boundless possibilities from the mere sight of a feather."
Generate ESB ItemName:Aldrich's Rubyand it's \nDescription: ,"A malformed ring left by Aldrich, Saint of the Deep. Recovers HP from critical attacks.>>Aldrich, infamous for his appetite for flesh apparently had the desire to share with others his joy of imbibing the final shudders of life while luxuriating in his victim's screams."
Generate ESB ItemName:Aldrich's Sapphireand it's \nDescription: ,"A malformed ring left by Aldrich, Saint of the Deep. Recovers FP from critical attacks.>>Aldrich, infamous for his appetite for flesh, apparently had the desire to share with others his joy of imbibing the final shudders of life while luxuriating in his victim's screams."
Generate ESB ItemName:Ancient Dragon Sealand it's \nDescription: ,"Ring of the Dragon Remnants covenant. Slightly increases Estus Flask HP recovery.>>Possessing a dragon scale is proof of its owner's prowess. Strength should always be displayed boldly, and meted out justly.>>Members of the covenant who bear dragon scales can fight with one another. The survivor of the duel claims the dragon scale of the opponent."
Generate ESB ItemName:Anti-Clockwise Metamorphosisand it's \nDescription: ,"A secret symbol left by Caryll, runesmith of Byrgenwerth. The twisted cross means metamorphosis. Rotated anti-clockwise, this rune boosts stamina. The discovery of blood made their dream of evolution a reality. Metamorphosis, and the excesses and deviation that followed, was only the beginning."
Generate ESB ItemName:Antidoteand it's \nDescription: ,"Small medicinal tablets that counteract poison. Used to treat ashen blood, the baffling sickness that ravaged Old Yharnam long ago. These tablets only provide short-term relief. The ashen blood ailment eventually triggered the spread of the beastly scourge."
Generate ESB ItemName:Arcane Hazeand it's \nDescription: ,"Material used in a Holy Chalice rite. The tiny smatterings of haze that are found in certain ritual materials. Sometimes required for special rites. The additional rite Sinister Bell makes the bell-ringing woman appear, and when she rings a sinister bell, hunters from other worlds will be beckoned as adversaries."
Generate ESB ItemName:Arcane Lake Runeand it's \nDescription: ,"A secret symbol left by Caryll, runesmith of Byrgenwerth. This transcription of the Great Ones' inhuman voices ripples like a watery reflection. This rune means Lake, and those branded by it enjoy augmented defense. Great volumes of water serve as a bulwark guarding sleep, and an augur of the eldritch Truth. Overcome this hindrance, and seek what is yours."
