Prompt,Completion,,
Generate ESB ItemName:\nItemName,Abyss Greatsword,,
Generate ESB ItemName:\nItemName,Academy Glintstone Staff,,
Generate ESB ItemName:\nItemName,Aged Smelter Sword,,
Generate ESB ItemName:\nItemName,Alabaster Lord's Sword,,
Generate ESB ItemName:\nItemName,Albinauric Bow,,
Generate ESB ItemName:\nItemName,Albinauric Staff,,
Generate ESB ItemName:\nItemName,Aldia Hammer,,
Generate ESB ItemName:\nItemName,Alonne Greatbow,,
Generate ESB ItemName:\nItemName,Amygdalan Arm,,
Generate ESB ItemName:\nItemName,Anri's Straight Sword,,
Generate ESB ItemName:\nItemName,Antspur Rapier,,
Generate ESB ItemName:\nItemName,Aquamarine Dagger,,
Generate ESB ItemName:\nItemName,Arbalest,,
Generate ESB ItemName:\nItemName,Arced Sword,,
Generate ESB ItemName:\nItemName,Archdeacon's Great Staff,,
Generate ESB ItemName:\nItemName,Archdrake Chime,,
Generate ESB ItemName:\nItemName,Archdrake Mace,,
Generate ESB ItemName:\nItemName,Archdrake Staff,,
Generate ESB ItemName:\nItemName,Arstor's Spear,,
Generate ESB ItemName:\nItemName,Ashen Warrior Sword,,
Generate ESB ItemName:\nItemName,Astora Greatsword,,
Generate ESB ItemName:\nItemName,Astora Straight Sword,,
Generate ESB ItemName:\nItemName,Astrologer's Staff,,
Generate ESB ItemName:\nItemName,Avelyn,,
Generate ESB ItemName:\nItemName,Evalyn,,
Generate ESB ItemName:\nItemName,Axe of Godfrey,,
Generate ESB ItemName:\nItemName,Axe of Godrick,,
Generate ESB ItemName:\nItemName,Azal's Staff,,
Generate ESB ItemName:\nItemName,Azur's Glintstone Staff,,
Generate ESB ItemName:\nItemName,Balder Side Sword,,
Generate ESB ItemName:\nItemName,Bandit Axe,,
Generate ESB ItemName:\nItemName,Bandit Greataxe,,
Generate ESB ItemName:\nItemName,Bandit's Curved Sword,,
Generate ESB ItemName:\nItemName,Bandit's Knife,,
