Prompt,Completion
Generate ESB ItemName:,Abyss Greatsword
Generate ESB ItemName:,Academy Glintstone Staff
Generate ESB ItemName:,Aged Smelter Sword
Generate ESB ItemName:,Alabaster Lord's Sword
Generate ESB ItemName:,Albinauric Bow
Generate ESB ItemName:,Albinauric Staff
Generate ESB ItemName:,Aldia Hammer
Generate ESB ItemName:,Alonne Greatbow
Generate ESB ItemName:,Amygdalan Arm
Generate ESB ItemName:,Anri's Straight Sword
Generate ESB ItemName:,Antspur Rapier
Generate ESB ItemName:,Aquamarine Dagger
Generate ESB ItemName:,Arbalest
Generate ESB ItemName:,Arced Sword
Generate ESB ItemName:,Archdeacon's Great Staff
Generate ESB ItemName:,Archdrake Chime
Generate ESB ItemName:,Archdrake Mace
Generate ESB ItemName:,Archdrake Staff
Generate ESB ItemName:,Arstor's Spear
Generate ESB ItemName:,Ashen Warrior Sword
Generate ESB ItemName:,Astora Greatsword
Generate ESB ItemName:,Astora Straight Sword
Generate ESB ItemName:,Astrologer's Staff
Generate ESB ItemName:,Avelyn
Generate ESB ItemName:,Evalyn
Generate ESB ItemName:,Axe of Godfrey
Generate ESB ItemName:,Axe of Godrick
Generate ESB ItemName:,Azal's Staff
Generate ESB ItemName:,Azur's Glintstone Staff
Generate ESB ItemName:,Balder Side Sword
Generate ESB ItemName:,Bandit Axe
Generate ESB ItemName:,Bandit Greataxe
Generate ESB ItemName:,Bandit's Curved Sword
Generate ESB ItemName:,Bandit's Knife
Generate ESB ItemName:,Bandit's Dagger
Generate ESB ItemName:,Bandit's Blade
Generate ESB ItemName:,Banished Knight's Greatsword
Generate ESB ItemName:,Banished Knight's Halberd
Generate ESB ItemName:,Barbed Club
Generate ESB ItemName:,Barbed Straight Sword
Generate ESB ItemName:,Bastard Sword
Generate ESB ItemName:,Bastard's Stars
Generate ESB ItemName:,Bat Staff
Generate ESB ItemName:,Battle Axe
Generate ESB ItemName:,Battle Hammer
Generate ESB ItemName:,Beast Claw
Generate ESB ItemName:,Beast Cutter
Generate ESB ItemName:,Beast-Repellent Torch
Generate ESB ItemName:,Beastclaw Greathammer
Generate ESB ItemName:,Beasthunter Saif
Generate ESB ItemName:,Beastman's Curved Sword
Generate ESB ItemName:,Beatrice's Catalyst
Generate ESB ItemName:,Bell Keeper Bow
Generate ESB ItemName:,Berserker Blade
Generate ESB ItemName:,Bewitched Alonne Sword
Generate ESB ItemName:,Black Blade
Generate ESB ItemName:,Black Bow
Generate ESB ItemName:,Black Bow of Pharis
Generate ESB ItemName:,Black Bow of Arashava
Generate ESB ItemName:,Black Dragon Greataxe
Generate ESB ItemName:,Black Dragon Greatsword
Generate ESB ItemName:,Black Dragon Sword
Generate ESB ItemName:,Black Dragon Warpick
Generate ESB ItemName:,Black Flamestone Dagger
Generate ESB ItemName:,Black Knife
Generate ESB ItemName:,Black Knight Glaive
Generate ESB ItemName:,Black Knight Greataxe
Generate ESB ItemName:,Black Knight Greatsword
Generate ESB ItemName:,Black Knight Halberd
Generate ESB ItemName:,Black Knight Sword
Generate ESB ItemName:,Black Knight Ultra Greatsword
Generate ESB ItemName:,Black Scorpion Stinger
Generate ESB ItemName:,Black Witch's Staff
Generate ESB ItemName:,Blacksmith Giant Hammer
Generate ESB ItemName:,Blacksmith Hammer
Generate ESB ItemName:,Blacksteel Katana
Generate ESB ItemName:,Blade of Calling
Generate ESB ItemName:,Blade of Mercy
Generate ESB ItemName:,Blasphemous Blade
Generate ESB ItemName:,Bloodhound Claws
Generate ESB ItemName:,Bloodied Whip
Generate ESB ItemName:,Bloodletter
Generate ESB ItemName:,Bloodlust
Generate ESB ItemName:,Bloodstained Dagger
Generate ESB ItemName:,Bloody Helice
Generate ESB ItemName:,Blue Dagger
Generate ESB ItemName:,Blue Flame
Generate ESB ItemName:,Blue Knight's Halberd
Generate ESB ItemName:,Bluemoon Greatsword
Generate ESB ItemName:,Bolt of Gransax
Generate ESB ItemName:,Bone Fist
Generate ESB ItemName:,Bone Scythe
Generate ESB ItemName:,Bone Staff
Generate ESB ItemName:,Bound Hand Axe
Generate ESB ItemName:,Bow of Want
Generate ESB ItemName:,Brick Hammer
Generate ESB ItemName:,Brigand Twindaggers
Generate ESB ItemName:,Broadsword
Generate ESB ItemName:,Broken Straight Sword
Generate ESB ItemName:,Broken Longsword
Generate ESB ItemName:,Broken Thief Sword
Generate ESB ItemName:,Butcher's Knife
Generate ESB ItemName:,Butchering Knife
Generate ESB ItemName:,Caestus
Generate ESB ItemName:,Caitha's Chime
Generate ESB ItemName:,Cane Sword
Generate ESB ItemName:,Canvas Talisman
Generate ESB ItemName:,Carian Glintblade Staff
Generate ESB ItemName:,Carian Glintstone Staff
Generate ESB ItemName:,Carian Knight's Sword
Generate ESB ItemName:,Carian Regal Scepter
Generate ESB ItemName:,Carthus Curved Greatsword
Generate ESB ItemName:,Carthus Curved Sword
Generate ESB ItemName:,Carthus Shotel
Generate ESB ItemName:,Cathedral Knight Greatsword
Generate ESB ItemName:,Celebrant's Cleaver
Generate ESB ItemName:,Celebrant's Rib-Rake
Generate ESB ItemName:,Celebrant's Sickle
Generate ESB ItemName:,Celebrant's Skull
Generate ESB ItemName:,Chainlink Flail
Generate ESB ItemName:,Channeler's Trident
Generate ESB ItemName:,Chaos Blade
Generate ESB ItemName:,Chaos Rapier
Generate ESB ItemName:,Chariot Lance
Generate ESB ItemName:,Charred Loyce Greatsword
Generate ESB ItemName:,Chikage
Generate ESB ItemName:,Chime of Scream
Generate ESB ItemName:,Chime of Want
Generate ESB ItemName:,Church Pick
Generate ESB ItemName:,Cinquedea
Generate ESB ItemName:,Cipher Pata
Generate ESB ItemName:,Clawmark Seal
Generate ESB ItemName:,Claws
Generate ESB ItemName:,Clayman's Harpoon
Generate ESB ItemName:,Claymore
Generate ESB ItemName:,Cleanrot Knight's Sword
Generate ESB ItemName:,Cleanrot Spear
Generate ESB ItemName:,Cleric's Candlestick
Generate ESB ItemName:,Cleric's Sacred Chime
Generate ESB ItemName:,Clinging Bone
Generate ESB ItemName:,Club
Generate ESB ItemName:,Coded Sword
Generate ESB ItemName:,Commander's Standard
Generate ESB ItemName:,Composite Bow
Generate ESB ItemName:,Corvian Greatknife
Generate ESB ItemName:,Court Sorcerer's Staff
Generate ESB ItemName:,Craftsman's Hammer
Generate ESB ItemName:,Cranial Vessel Candlestand
Generate ESB ItemName:,Crepus's Black-Key Crossbow
Generate ESB ItemName:,Crescent Axe
Generate ESB ItemName:,Crescent Greataxe
Generate ESB ItemName:,Crescent Moon Axe
Generate ESB ItemName:,Crescent Moon Sword
Generate ESB ItemName:,Crescent Sickle
Generate ESB ItemName:,Cross-Naginata
Generate ESB ItemName:,Crow Quills
Generate ESB ItemName:,Crow Talons
Generate ESB ItemName:,Crucifix of the Mad King
Generate ESB ItemName:,Crystal Chime
Generate ESB ItemName:,Crystal Greatsword
Generate ESB ItemName:,Crystal Knife
Generate ESB ItemName:,Crystal Sage's Rapier
Generate ESB ItemName:,Crystal Spear
Generate ESB ItemName:,Crystal Staff
Generate ESB ItemName:,Crystal Straight Sword
Generate ESB ItemName:,Crystal Sword
Generate ESB ItemName:,Curved Club
Generate ESB ItemName:,Curved Dragon Greatsword
Generate ESB ItemName:,Curved Great Club
Generate ESB ItemName:,Curved Nil Greatsword
Generate ESB ItemName:,Curved Twinblade
Generate ESB ItemName:,Dagger
Generate ESB ItemName:,Dancer's Enchanted Swords
Generate ESB ItemName:,Dark Hand
Generate ESB ItemName:,Dark Moon Greatsword
Generate ESB ItemName:,Dark Silver Tracer
Generate ESB ItemName:,Dark Sword
Generate ESB ItemName:,Darkdrift
Generate ESB ItemName:,Darkmoon Bow
Generate ESB ItemName:,Darkmoon Longbow
Generate ESB ItemName:,Darkmoon talisman
Generate ESB ItemName:,Darksword
Generate ESB ItemName:,Death Ritual Spear
Generate ESB ItemName:,Death's Poker
Generate ESB ItemName:,Defender Greatsword
Generate ESB ItemName:,Demi-Human Queen's Staff
Generate ESB ItemName:,Demon Great Machete
Generate ESB ItemName:,Demon's Catalyst
Generate ESB ItemName:,Demon's Fist
Generate ESB ItemName:,Demon's Great Hammer
Generate ESB ItemName:,Demon's Greataxe
Generate ESB ItemName:,Demon's Scar
Generate ESB ItemName:,Demon's Spear
Generate ESB ItemName:,Devourer's Scepter
Generate ESB ItemName:,Digger's Staff
Generate ESB ItemName:,Disc Chime
Generate ESB ItemName:,Dragon Bone Fist
Generate ESB ItemName:,Dragon Chime
Generate ESB ItemName:,Dragon Communion Seal
Generate ESB ItemName:,Dragon Greatclaw
Generate ESB ItemName:,Dragon Greatsword
Generate ESB ItemName:,Dragon Halberd
Generate ESB ItemName:,Dragon King Greataxe
Generate ESB ItemName:,Dragon King's Cragblade
Generate ESB ItemName:,Dragon Tooth
Generate ESB ItemName:,Fake Dragon Tooth
Generate ESB ItemName:,Dragonrider Bow
Generate ESB ItemName:,Dragonrider Longbow
Generate ESB ItemName:,Dragonrider Twinblade
Generate ESB ItemName:,Dragonrider's Halberd
Generate ESB ItemName:,Dragonscale Blade
Generate ESB ItemName:,Dragonslayer Greataxe
Generate ESB ItemName:,Dragonslayer Greatbow
Generate ESB ItemName:,Dragonslayer Spear
Generate ESB ItemName:,Dragonslayer Glaive
Generate ESB ItemName:,Dragonslayer Greatspear
Generate ESB ItemName:,Dragonslayer Swordspear
Generate ESB ItemName:,Dragonslayer's Axe
Generate ESB ItemName:,Dragonslayer's Crescent Axe
Generate ESB ItemName:,Drake Sword
Generate ESB ItemName:,Drakeblood Greatsword
Generate ESB ItemName:,Drakekeeper's Great Hammer
Generate ESB ItemName:,Drakekeeper's Greataxe
Generate ESB ItemName:,Drakekeeper's Sword
Generate ESB ItemName:,Drakekeeper's Ultra Greatsword
Generate ESB ItemName:,Drakekeeper's Warpick
Generate ESB ItemName:,Drakewing Ultra Greatsword
Generate ESB ItemName:,Drang Hammers
Generate ESB ItemName:,Drang Twinspears
Generate ESB ItemName:,Drangleic Sword
Generate ESB ItemName:,Duelist Greataxe
Generate ESB ItemName:,Earth Seeker
Generate ESB ItemName:,Eclipse Shotel
Generate ESB ItemName:,Elder Flame
Generate ESB ItemName:,Eleonora
Generate ESB ItemName:,Eleonora's Poleblade
Generate ESB ItemName:,Eleum Loyce
Generate ESB ItemName:,Envoy's Greathorn
Generate ESB ItemName:,Envoy's Horn
Generate ESB ItemName:,Envoy's Long Horn
Generate ESB ItemName:,Erdsteel Dagger
Generate ESB ItemName:,Erdtree Bow
Generate ESB ItemName:,Erdtree Greatbow
Generate ESB ItemName:,Erdtree Seal
Generate ESB ItemName:,Espada Ropera
Generate ESB ItemName:,Estoc
Generate ESB ItemName:,Executioner's Greataxe
Generate ESB ItemName:,Executioner's Greatsword
Generate ESB ItemName:,Exile Greatsword
Generate ESB ItemName:,Falchion
Generate ESB ItemName:,Great Falchion
Generate ESB ItemName:,Fallingstar Beast Jaw
Generate ESB ItemName:,Family Heads
Generate ESB ItemName:,Farron Greatsword
Generate ESB ItemName:,Finger Seal
Generate ESB ItemName:,Firelink Greatsword
Generate ESB ItemName:,Flail
Generate ESB ItemName:,Flamberge
Generate ESB ItemName:,Redmane Flamberge
Generate ESB ItemName:,Flowing Curved Sword
Generate ESB ItemName:,Follower Javelin
Generate ESB ItemName:,Follower Sabre
Generate ESB ItemName:,Foot Soldier Sword
Generate ESB ItemName:,Forked Greatsword
Generate ESB ItemName:,Forked Hatchet
Generate ESB ItemName:,Four-Pronged Plow
Generate ESB ItemName:,Frayed Blade
Generate ESB ItemName:,Frenzied Flame Seal
Generate ESB ItemName:,Friede's Great Scythe
Generate ESB ItemName:,Frozen Needle
Generate ESB ItemName:,Full Moon Crossbow
Generate ESB ItemName:,Full Moon Sickle
Generate ESB ItemName:,Fume Sword
Generate ESB ItemName:,Fume Ultra Greatsword
Generate ESB ItemName:,Gael's Greatsword
Generate ESB ItemName:,Gargoyle Bident
Generate ESB ItemName:,Gargoyle Flame Hammer
Generate ESB ItemName:,Gargoyle Flame Spear
Generate ESB ItemName:,Gargoyle Tail Axe
Generate ESB ItemName:,Gargoyle's Black Axe
Generate ESB ItemName:,Gargoyle's Black Halberd
Generate ESB ItemName:,Gargoyle's Blackblade
Generate ESB ItemName:,Gargoyle's Great Axe
Generate ESB ItemName:,Gargoyle's Greatsword
Generate ESB ItemName:,Gargoyle's Halberd
Generate ESB ItemName:,Gargoyle's Twinblade
Generate ESB ItemName:,Gelmir Glintstone Staff
Generate ESB ItemName:,Ghiza's Wheel
Generate ESB ItemName:,Ghost Blade
Generate ESB ItemName:,Ghostflame Torch
Generate ESB ItemName:,Giant Stone Axe
Generate ESB ItemName:,Giant Warrior Club
Generate ESB ItemName:,Giant-Crusher
Generate ESB ItemName:,Giant's Halberd
Generate ESB ItemName:,Giant's Red Braid
Generate ESB ItemName:,Giant's Seal
Generate ESB ItemName:,Glaive
Generate ESB ItemName:,Glintstone Kris
Generate ESB ItemName:,Glintstone Staff
Generate ESB ItemName:,Godskin Peeler
Generate ESB ItemName:,Godskin Stitcher
Generate ESB ItemName:,Godslayer's Greatsword
Generate ESB ItemName:,Godslayer's Seal
Generate ESB ItemName:,Gold Tracer
Generate ESB ItemName:,Golden Epitaph
Generate ESB ItemName:,Golden Halberd
Generate ESB ItemName:,Golden Order Greatsword
Generate ESB ItemName:,Golden Order Seal
Generate ESB ItemName:,Golden Ritual Spear
Generate ESB ItemName:,Golem Axe
Generate ESB ItemName:,Golem Greatbow
Generate ESB ItemName:,Golem's Halberd
Generate ESB ItemName:,Gotthard Twinswords
Generate ESB ItemName:,Gough's Greatbow
Generate ESB ItemName:,Grafted Blade Greatsword
Generate ESB ItemName:,Grafted Dragon
Generate ESB ItemName:,Grand Lance
Generate ESB ItemName:,Grant
Generate ESB ItemName:,Grave Scythe
Generate ESB ItemName:,Gravel Stone Seal
Generate ESB ItemName:,Gravelord Sword
Generate ESB ItemName:,Great Club
Generate ESB ItemName:,Great Corvian Scythe
Generate ESB ItemName:,Great Épée
Generate ESB ItemName:,Great Knife
Generate ESB ItemName:,Great Lord Greatsword
Generate ESB ItemName:,Great Mace
Generate ESB ItemName:,Great Machete
Generate ESB ItemName:,Great Omenkiller Cleaver
Generate ESB ItemName:,Great Scythe
Generate ESB ItemName:,Great Stars
Generate ESB ItemName:,Great Wooden Hammer
Generate ESB ItemName:,Greataxe
Generate ESB ItemName:,Greathorn Hammer
Generate ESB ItemName:,Greatlance
Generate ESB ItemName:,Ultra Greatsword
Generate ESB ItemName:,Greatsword
Generate ESB ItemName:,Greatsword of Artorias
Generate ESB ItemName:,Greatsword of Artorias (Cursed)
Generate ESB ItemName:,Greatsword of the Forlorn
Generate ESB ItemName:,Grossmesser
Generate ESB ItemName:,Guardian Tail
Generate ESB ItemName:,Gundyr's Halberd
Generate ESB ItemName:,Gyrm Axe
Generate ESB ItemName:,Gyrm Great Hammer
Generate ESB ItemName:,Gyrm Greataxe
Generate ESB ItemName:,Halberd
Generate ESB ItemName:,Halo Scythe
Generate ESB ItemName:,Hammer
Generate ESB ItemName:,Hammer of Vamos
Generate ESB ItemName:,Hand Axe
Generate ESB ItemName:,Hand of Malenia
Generate ESB ItemName:,Handmaid's Dagger
Generate ESB ItemName:,Handmaid's Ladle
Generate ESB ItemName:,Harald Curved Greatsword
Generate ESB ItemName:,Harp Bow
Generate ESB ItemName:,Harpe
Generate ESB ItemName:,Heavy Crossbow
Generate ESB ItemName:,Heide Greatlance
Generate ESB ItemName:,Heide Knight Sword
Generate ESB ItemName:,Heidi Lance
Generate ESB ItemName:,Helix Halberd
Generate ESB ItemName:,Helphen's Steeple
Generate ESB ItemName:,Heretic's Staff
Generate ESB ItemName:,Heysel Pick
Generate ESB ItemName:,Highland Axe
Generate ESB ItemName:,Hollowslayer Greatsword
Generate ESB ItemName:,Holy Moonlight Sword
Generate ESB ItemName:,Homunculus Mace
Generate ESB ItemName:,Hookclaws
Generate ESB ItemName:,Horn Bow
Generate ESB ItemName:,Hoslow's Petal Whip
Generate ESB ItemName:,Hunter Axe
Generate ESB ItemName:,Hunter's Blackbow
Generate ESB ItemName:,Iaito
Generate ESB ItemName:,Ice Rapier
Generate ESB ItemName:,Icerind Hatchet
Generate ESB ItemName:,Idol's Chime
Generate ESB ItemName:,Immolation Tinder
Generate ESB ItemName:,Infantry Axe
Generate ESB ItemName:,Inquisitor's Girandole
Generate ESB ItemName:,Inseparable Sword
Generate ESB ItemName:,Irithyll Rapier
Generate ESB ItemName:,Irithyll Straight Sword
Generate ESB ItemName:,Iron Ball
Generate ESB ItemName:,Iron Cleaver
Generate ESB ItemName:,Iron Greatsword
Generate ESB ItemName:,Iron King Hammer
Generate ESB ItemName:,Iron Spear
Generate ESB ItemName:,Ivory King Ultra Greatsword
Generate ESB ItemName:,Ivory Sickle
Generate ESB ItemName:,Ivory Straight Sword
Generate ESB ItemName:,Ivory Talisman
Generate ESB ItemName:,Izalith Catalyst
Generate ESB ItemName:,Jagged Ghost Blade
Generate ESB ItemName:,Jawbone Axe
Generate ESB ItemName:,Katar
Generate ESB ItemName:,Key to the Embedded
Generate ESB ItemName:,King's Ultra Greatsword
Generate ESB ItemName:,Kirkhammer
Generate ESB ItemName:,Knight's Crossbow
Generate ESB ItemName:,Knight's Greatsword
Generate ESB ItemName:,Kos Parasite
Generate ESB ItemName:,Large Club
Generate ESB ItemName:,Lazuli Glintstone Sword
Generate ESB ItemName:,Ledo's Great Hammer
Generate ESB ItemName:,Lifehunt Scythe
