Prompt:,"IName:,","Completion:,",Status: Finished,IDescription:,Needed: Demon Souls (Maybe),Completed:
Prompt:,"IName:,","Completion:,",Item Name,IDescription:,Item Description,Item Type
Prompt:,"IName:,","Completion:,",Alberich's robe,IDescription:,"Set with red glintstones said to be formed by the blood of sacrifices.Strengthens thorn sorcery. Alberiches was an aloof yet disturbed heretical sorcerer said to have been driven mad by jeering tongues during his service to the Roundtable Hold long ago. ",IType:
Prompt:,"IName:,","Completion:,",ALBINAURIC MASK,IDescription:,"Made from the largely unaltered hide of a young Albinauric.Raises arcane, but reduces the HP recovery effects of the Flask of Crimson Tears.A far cry from godskin, this Albinauric hide mask is the product of malicious mockery.",IType:
Prompt:,"IName:,","Completion:,",All-Knowing Helm,IDescription:,"Helm set with countless eyes and ears. Worn by Gideon Ofnir, the All-Knowing.Knowledge begins with the recognition of one's ignorance. The realization that the search for knowledge is unending. But when Gideon glimpsed into the will of Queen Marika, he shuddered in fear.At the end that should not be",IType:
Prompt:,"IName:,","Completion:,",Alonne Captain Armor,IDescription:,"The accoutrements of the Alonne Knights, who served the Old Iron King, were created with an advanced crafting technique. They remain solid and handsomely crafted.The design is styled after the armor worn by an unusual knight who trained the Iron King's men in the sword. He was said to have deserted his liege after bearing witness to his descent into depravity",IType:
Prompt:,"IName:,","Completion:,",Alva Armor,IDescription:,"Light but offer very high defense. Alva crossed many a land in search of a cure for Saint Serreta's sickness, but failed and relinquished his knighthood.
Alva was once wracked with guilt and remorse, but rediscovered his purpose in life with the aid of the witch who once plotted against him",IType:
Prompt:,"IName:,","Completion:,",Alva Armor,IDescription:,"Protection of Alva, seeker of the spurned. This armor was trimmed to reduce weight. To this day, troubadours sing of tales of the Wandering knight Alva and his travels, and of his involvement with the saint and the witch. Needless to say, the songs traditionally end in tragedy.",IType:
Prompt:,"IName:,","Completion:,",Ancient King's Breastplate,IDescription:,The bronze breastplate of the demigod Old King Doran. There are Jewels inlaid in it,IType:
Prompt:,"IName:,","Completion:,",Antiquated Dress,IDescription:,"A dress from the ancient fallen land of Oolacile. Its ivory-colored silk features elaborate embroidery and is imbued with ancient magic power. One cannot expect any physical protection from this garment, as it was not meant to be worn in battle",IType:
Prompt:,"IName:,","Completion:,",Antiquated Dress,IDescription:,"Dress sewn in a long-lost fashion. The elaborately embroidered, ivory-colored silk is imbued with ancient magic power. No protection is offered by this garment, as it was never intended for battle",IType:
Prompt:,"IName:,","Completion:,",Archdeacon White Crown,IDescription:,"White crown worn by an Archdeacon of the Cathedral of the Deep. Presented solely to delegates of the gods. A sign of the Way of White's highest rank. Of the three Archdeacons of the Deep, one cast off his white crown and left the cathedral to stand by Aldrich. One stood over Aldrich's casket, with hope that he would return one day. One attended to Rosaria, Mother of Rebirth, whom he deemed a goddess",IType:
