Status:,"Needed: Elden RingBloodborne, DS!, DS2,DS3"
Monster Name,Monster Description
Northern Undead Asylum,   The Northern Undead Asylum is a location within the Undead Asylum that is home to the undead prisoners
Astora,"  Astora is a beautiful kingdom that is home to many Fae creatures. The kingdom is under attack from monsters, and the inhabitants are seeking help from other kingdoms."
Volcano Cave," A cave system at the highest point of Mt. Gelmir, made into a home by a family of Demi-Humans hiding their maddened Queen."
Darkroot Garden," A dark and twisted garden, home to all manner of foul creatures."
Tomb of Giants," A mausoleum housing the remains of ancient giants. It is said that their spirits still wander the tomb, and that their treasure is guarded by a fearsome creature."
Blighttown," A poisonous, dismal swamp infested with deadly creatures. It is said that a great evil lurks in its depths."
The War-Dead Catacombs, Catacombs for those who have died a glorious battle death
Oolacile Township, Oolacile Township is a township in the eastern area of Senntisten. It is home to the White Wolf Glorfindel
Oolacile," Oolacile, once a happy and prosperous settlement, was completely destroyed by the great eruption of Mount Bur-Omisace. All that remains are the ruins of homes and shops, and the eerie remains of the people who once lived there."
The Duke's Archives," The Duke's Archives is a large and imposing building located in the heart of the city of Amnoon. It is the home of the Duke, his family, and his advisors."
Limgrave Colosseum,"""All I wanted was to fight. To fight, as a warrior, to the last...
So, Why? Why, O guidance of grace, will this door not open?"""
Bridge of Sacrifice,"A busy bridge swarming with iron-clad foes. Be prepared to engage in an array of melee, ranged and artillery attacks or attempt to push past them"
Upper Latria ,"A church devoted to an idol that mimicked the queen gave the prisoners a ray of hope, but no doubt a deep malice awaited them, poised to mercilessly dash what faint dreams they had."
Smithing Grounds,"A city of miners who maintain the giant tunnel. Long ago, the efforts of the hard-headed burrowers allowed Boletarian Soldiers to carry out their work, but now, dispossessed of their souls, they have no thoughts of their own, and work in silence, tirelessly, without purpose."
Starfall Crater,A crater formed by the falling star upon the defeat of conqueror of the stars.
Ash Lake,A crystal-clear lake surrounded by a thick forest. It is said that a great dragon sleeps at the bottom of the lake.
Undead Parish,"A dark and dreary place, inhabited by revenants and other undead creatures. It is said that a powerful being lurks in the shadows, preying on the unsuspecting."
Stillwater Cave,"A dark and murky cave beset by a poisonous miasma. Home to servants of rot, relishing in the presence of the giant poisonblooms endemic to the cave."
Murkwater Cave,A dark cave halfway through the Murkwater River
 Tunnels,"A deep tunnel used by many to mine smithing stones. Its zealous miners never dare to venture into its hidden chambers, for fear of the great Troll within."
Isolated Divine Tower,A Divine Tower that is inaccessible by normal means. This tower lies the secret to restoring the power of Malenia’s Great Rune.
Gates of Boletaria ,"A huge stone castle in the heart of the northern kingdom of Boletaria.
Hungry soldiers attack trespassers, their souls stolen by demons, while nearby terrible dragons have taken roost."
Caria Manor ,"A large estate situated far to the north of Liurnia. Heavily guarded by all manner of creatures as well as its eternal warden, the spectral Royal Knight Loretta."
Leyndell Catacombs,A massive underground mausoleum found beneath the Royal Capital
Sen's Fortress,"A massive, impenetrable fortress located in the middle of the dangerous and lawless Black desert. It is rumoured to be the hideout of the Black Sun pirates."
Minor Erdtree,"A Minor Erdtree in eastern Dragonbarrow, overlooking the eastern roads."
"Sellia, Town of Sorcery","A once-great town renowned for its study of the sorcerous arts. Now lying in ruin, the ghosts of its former scholars still roam the streets."
Undead Burg,"A ruined asylum, now overrun by the undead. It is said that a great evil lurks within, preying on the souls of the lost."
Lost Izalith,"A ruined city located in the southeast of the Great Hollow. It is said to be the birthplace of demons, and is now overrun with all manner of hostile creatures."
Witchbane Ruins,"A set of ruins found in western Weeping Peninsula. Overgrown with thick shrubs and poisonous pools, this decrepit landmark invites only misery and dread. "
Artist's Shack,A small cabin in Limgrave. Its strongly perceived tranquility seems overshadowed by oblivion. 
Redmane Castle,A small castle that is heavily guarded at the castle's outskirts by Radahn Knights and Soldiers. The Redmane Castle serves as the gathering point for warriors alike who are wanting to participate in the Radahn Festival.
Ailing Village,"A small, abandoned village nestled within a forested area north of the Castle Morne Rampart. This village is host to long-dilapidated dwellings, inhabited only by maddened fanatics gripped by the Flame of Frenzy. "
Frenzy-Flaming Tower,"A tower in north-east Liurnia of the Lakes, atop which is a giant flame causing madness in the surrounding area."
Underground Temple,"Ages ago, a fire demon was imprisoned in an underground temple littered with the bones of dragons. Beyond the prison, in a sea of molten lava, are the resting bones of a dragon of unfathomable size."
Swamp of Sorrow,"All that is unclean ends up in the giant swamp at the base of the Valley of Defilement. The swamp is a cesspool of putrilage, vermin, and plague."
Mirage Rise,An area with a mystic glow. Adventurers who solve the riddle and touch the Phantom Crests found across the fields will unveil the Mirage Rise and reap its rewards. 
Revenger's Shack,"An isolated shack north of the Minor Erdtree. Bodies litter the ground inside the shack, possibly belonging to those one has taken revenge upon."
Testu's Rise,An observation tower found in the middle of a lone isle in Liurnia. The entrance is sealed by impish magic and presents a challenge to would-be visitors.
Shack of the Rotting,An old worn-down shack overlooking a long stretch of cliffs in western Caelid.
Painted World of Ariamis,"An otherworldly realm inhabited by beasts, this place is said to be the home of the Witch of Izalith."
Sanctuary of the Lost,"Astraea was once the Sixth Saint, but now she lives beside those awaiting death in the Valley of Defilement. To ease the pain of the Valley's dwellers, Astraea chose surrender to a demon's soul over the cruel God she worshiped."
The Tunnel City,"Below the smithing grounds of Stonefang, the Tunnel City is a system of pathways that gave the city its name. Legend has it that deep inside, beyond the molten swamps, is a grave for dragons"
Rotting Haven,"Beyond the swamp, filled with poisonous jellyfish and giant slugs is a cavern that absorbs all that is unclean, and a shrine of rotten trees erected in honor of a demon. Visitors offer souls to be freed from their notions of suffering."
Deathtouched Catacombs,"Catacombs filled with the stench of death, Skeletons dwell in the shadows."
Church of Elleh,"Church of Elleh is a ruined building that hides a Site of Grace. The rooftop has caved in and offers no protection from the elements, and weeds are overtaking the walls, but this doesn't stop merchants from seeking what little shelter is on offer."
Divine Tower of Limgrave,Closed with a giant set of doors. It looks like you need some pieces to interact with the tower. 
Coastal Cave,"Coastal Cave is a dark opening on the side of a cliff. Its mossy depths are overrun by hostile humanoid creatures, but those who brave it may find passage to new lands."
Mistwood Ruins,"Concealed by the thriving growth of vegetation, these ruins are kept out of sight by the veil of nature itself. But there's more to it than what you see."
Dalaran,"Dalaran is a grand and bustling city located on the eastern bank of the Great Sea. It is a hive of activity, and the bustle of the city must be treated with care."
Darkroot Basin,Darkroot Basin is a dark and foreboding location within the Forest of Fallen Giants. The twisted trees and eerie shadows make it a treacherous place to explore.
Dragon-Burnt Ruins,"Dragon-Burnt Ruins are what remains of the housing area among Agheel Lake, long lost to the deadly attacks of the fierce Agheel Dragon"
Earthbore Cave,Earthbore Cave is a small dark cave on the side of the Cliffside between Limgrave and Weeping Peninsula. One might be able to hear the squeaks of rats and the snoring of a large beast deep within if you listen closely.
Fringefolk Hero's Grave,Fingefolk Hero's Grave is a dark and secluded location within the Cave of Knowledge. The confused and aimless dwell within.
Fort Faroth,"Fort Faroth used to house the guardians of Caelid, but its defenders have long fallen, now bound to earth as hostile spirits."
Fort Laiedd,"Fort Laiedd is found on the western edge of Mt. Gelmir, left in disrepair after a siege from the Fire Monks."
Frenzied Flame Proscription,"Half-buried catacombs, deep in the earth below Leyndell. The audience-chamber of the Three Fingers."
Tombsward Cave,Hidden cave in the forest teeming with poison-filled creatures.
Throne Room of Yormedaar,"His revenge complete, the old mand withered away, driven to madness by the golden robes that controlled his body. Now too frail to serve as a vessel, he was fully absorbed by the demon's soul."
Castle Morne,"I've escaped from Castle Morne, to the south. The servants there...have rebelled."
