Status:,"Needed: Elden RingBloodborne, DS!, DS2,DS3",Completed: 
Monster Name,Monster Description,Monster Type
,,
Dark Souls 1,,
,,
Hollow Warrior,"These armored zombies are still nearly as fragile and clumsy as regular zombies, but they've been armed with actual swords and shields, axes, and firebombs.",
Bat Wing Demon,A relatively small light coloured demon brandishing a Demon's Spear,
Balder Knight Archer,"Balder armored archer, used light crossbow and standart bolts.",
Great Stone Knight,"A very tall, heavily armoured knight found lying down in various parts of Darkroot Garden that wields a stone greatsword and greatshield. It would seem they've been here for quite some time as their armour is encrusted with vegetation from lying dormant on the forest floor for so long.",
Royal Sentinel,A slightly larger and tougher variety of the Sentinel enemy found in Anor Londo. This variety has attack power beyond that of the normal variety and also have the ability to cast a healing spell and an AoE attack.,
Giant Skeleton Archer," A bigger, more powerful, but also slower version of your average skeletal archer. Equipped with a gigantic version of the longbow with matching arrows. Has less health than the melee version.",
Giant Skeleton," A bigger and much more powerful, but cumbersome version of your average skeletal warrior. Makes use of its moderate speed, position in the imminent area, and guard breaking attacks to punish players. Fortunately, they're not as fast as their smaller cousins. Equipped with a gigantic Falchion, they inflict a world of hurt, and cause Bleed buildup.",
Skeleton," Your basic skeletal warrior. Utilizes deft combat techniques and are quick to punish reckless attackers. Equipped with either a large curved sword, a small curved sword and shield, or a longbow.",
Large Mushroom People,"These enemies come in two varieties: small, largely-defenseless shrooms and enormous brutes. The little ones can attack, but will almost always fall flat on their faces instead, leaving them completely vulnerable. The large mushroom men deal tremendous damage with their slow wind-up punches, and can guard crush the player quite easily",
Small Mushroom People,"These enemies come in two varieties: small, largely-defenseless shrooms and enormous brutes. The little ones can attack, but will almost always fall flat on their faces instead, leaving them completely vulnerable. The large mushroom men deal tremendous damage with their slow wind-up punches, and can guard crush the player quite easily",
Tree Lizard,"A two-headed lizard that's found hanging from some of the trees in Darkroot Garden. They can be quite hard to see, but they're no problem to deal with should you find one.",
Stone Demon,"A small floating Dragon-shaped gargoyle made of stone found in the Demon Ruins and Lost Izalith. It has a large belly and lacks legs, floating or rolling towards you instead. They will occasionally pose as statues in the scenery, They attack with a fire breath, These demons are easy to handle individually or in small groups as every attack landed stuns them and interrupts their attacks. Be wary in large groups as several of them firing off their attack can quickly drain your health. They are quite resistant to lightning.",
Crystal Knight,"The Crystal Knight is an enemy found within the Duke's Archives and wears Crystalline armor, wields a Crystal Greatsword, and a Crystal Shield.",
Undead Attack DOg,Undead dogs that prowl the streets in packs of two or more. They will attack and dodge suddenly.,
Vile Maggot,"A clot of Vile Maggots will hatch once an Egg Carrier is killed. They are long and pale with sharp facial pincers, they resemble a Grub.'",
