Prompt,Completion,Item Name,Item Description,ItemType
ItemName,,Abyss Greatsword,This greatsword belonged to Lord Gwyn's Knight Artorias who fell to the Abyss. Swallowed by the Dark with its master this sword is tainted by the Abyss and now its strength reflects its wielder's humanity,
ItemName,,Academy Glintstone Staff,"Staff of the Academy of Raya Lucaria,
embedded with a turquoise glintstone.

Only a recognized sorcerer is permitted to wield this staff.",
ItemName,,Aged Smelter Sword,"Ultra greatsword crafted from the soul of the smelter demon.It's blade is imbued with a great flame.Use the strong attack to unleash its latent power.When the old king acquired the power to grant life to heaps of iron he molded a great array of metallic automatons.The iron monstrosity itself was perhaps one of the king's puppets.",
ItemName,,Alabaster Lord's Sword ,"Greatsword forged from a blue-white meteoric ore.
The blade conceals gravity-manipulating magic.

A weapon unique to the Alabaster Lords, a race of ancients with
skin of stone who were said to have risen to life when a meteor
struck long ago.",
ItemName,,Albinauric Bow ,"Longbow featuring delicate silverwork. Wielded by Albinauric wolfback archers.

This bow requires dexterity over strength to master.",
ItemName,,Albinauric Staff,"Short staff with a blue glintstone embedded. Wielded by the albinaurics of old.

The albinaurics harbor a secret; they cast sorcery with their innate arcaneness.",
ItemName,,Aldia Hammer,"Hammer used by Aldian acolytes. Not used as a weapon, but as an instrument to dissect the bodies of the victims of their experimentation.They say that Lord Aldia was the King's elder brother and helped found Drangleic, but he later lost interest in the land's fortunes.",
ItemName,,Alonne Greatbow,"Unique bow equipped by Alonne Knights.This very powerful bow uses great arrows, but each draw of the string requires a great deal of time, leaving the shooter vulnerable.In the heyday of the land, the Old Iron King fancied entertaining dubious and eccentric guests from faraway lands.Most of them were charlatans, but amongst the riff-raff were true masters of authentic and refined arts.Scholar of the First Sin changed to:Unique bow equipped by Alonne Knights.This very powerful bow uses great arrows, but each draw of the string requires a great deal of time, leaving the shooter vulnerable.In the heyday of the land, the Old Iron King fancied entertaining dubious and eccentric guests from faraway lands.Most of them were charlatans, but among the riff-raff was an unusual knight from the far east. He trained the Iron King's men in the sword, in obeisance to his new lord.",
ItemName,,Amygdalan Arm,"The arm of a small Amygdala Great One. Strictly speaking, the Amygdalan Arm is no trick weapon of any sort, but certain madmen wield them like clubs. Starts as a large, tough blunt weapon formed of bone, but when extended, the hand quivers as if it were still alive.",
ItemName,,Anri's Straight Sword,"Sword precious to Anri, another Unkindled. The dullest type of blade found in the ruined land of Astora.Only, it was once the sword of an earnest noble figure, and its attacks are boosted by that elusive, essential property unique to humans: luck.",
ItemName,,Antspur Rapier,"Spur of a giant ant which has been fashioned into a rapier. The blade drips with scarlet rot. 

Scarlet rot is an old legend, of which Maleigh Marais of the Shaded Castle was a private believer. And indeed, he eventually found his own personal goddess.",
ItemName,,Aquamarine Dagger,".A dagger fitted with aquamarine crystal.Engraved with a prayer in the old tongue to ward off incident. Perhaps it was a parting gift given to one sent off on great travels.",
